开学时间: 20140824
离散数学                         1教422        1-1       1-16         
大学英语                         11教604       2-1       1-16      
java程序设计           1教522        5-3       1-13      
java程序设计           1教522        3-5       1-13  
java上机实验           6教527        2-4       5-10       
java上机实验           6教527        5-1       1,3,5,7,9,11,13,15,17,19   
线性代数                         1教阶101       1-4       1-16          
体育                                  西区田径场                         1-3       2-17             
电路及其原理                1教341        2-2       1-10       
电路及其原理                1教341        4-3       1-10       
马克思主义基本原理  1教阶303       1-2       1-3,6-9,11-16,18
马克思主义基本原理  1教阶303       4-4       14-16,18
Flah动画                   15教504       6-2       3-14      
物理实验                        1教实验                              1-5       2,4,6,8,10,12,14         
英语听力                        15教504       5-2       2,4,6,8,10,12,14,16     
